,overall_ranking,first_name,last_name,pos,team,b_t,future_value,body,fastball_proj,sweeper_proj,changeup_proj,cutter_proj,control_proj,hit_proj,power_proj,run_proj,field_proj,arm_proj
10,11,Bubba,Chandler,RHP,Age: 22 | Bats: Switch | Throws: Right,Switch-Right,60,"Reminds me of: There are some Zack Wheeler vibes here  Type: A complete front-line starter with three plus pitches and solid command  Chandler was a Clemson quarterback, switch-hitting shortstop, and right-handed pitcher commit from the Atlanta area entering the 2021 draft. It became clear during the spring that only a couple of teams considered him seriously as a position player and he was a late-first-round talent on the mound, so football lost out once the Pirates offered $3 million at the top of the third round.  Chandler is quite similar to the next pitcher, Chase Dollander, as both are four-seam-fastball-dominant righties that both average 96 mph and possess bat-missing characteristics that belong at the top of the zone; both are in the handful of the best all-around fastballs in the minor leagues. Being drafted out of college and not playing football, Dollander is older and has more high-level reps while also pitching at a level lower than Chandler, so his whiff rates and other outcome-based metrics are a bit better than Chandler's. When you stack them up, Chandler has gotten further in the minors quicker by age and also by overall reps and has a better present changeup. They're close, but Chandler gets the edge here.",60/65,,55/60,,,,,,,
11,12,Colt,Emerson,SS,Age: 19 | Bats: Left | Throws: Right,Left-Right,60,"Reminds me of: Andres Gimenez with more walks and less glove  Top 100 prospects by team Which franchises have the most players on our list?  8: LAD 6: CHW 5: CHC, SEA, TB 4: CIN, DET, MIL, MIN, NYM, PIT, WSH 3: BAL, BOS, CLE, LAA, MIA, PHI, STL, TEX, TOR 2: ATH, ATL, COL, HOU, KC, NYY, SD 1: ARI, SF  Type: Advanced lefty hitter with medium tools who fits somewhere in the infield  Emerson was the early breakout star from the loaded 2023 draft prep position-player class in the summer after he was chosen 22nd overall out of an Ohio high school. His 2024 season was a slight step back, as he broke a bone in his foot, then left the Arizona Fall League early due to a hamstring issue at the end of a season when his power numbers regressed a bit, admittedly back to predraft expectations.  The easy sales pitch here is that Emerson is a plus hitter with plus pitch selection from the left side who possesses 15-20 homer upside, an infield fit and solid speed. On the negative side, some evaluators think he's a stone-cold second baseman who lacks physical projection with hitting being his lone above-average tool. There are obvious similarities with McGonigle, with McGonigle showing a little more feel for in-game power and for playing shortstop, but both players are at a stage of development when a good bit can still change. Emerson's 2025 season should help make it clearer which one of these two camps is more correct.",,,,,,30/60,45/50,50/50,40/45,55/55
12,13,Aidan,Miller,SS,Age: 20 | Bats: Right | Throws: Right,Right-Right,60,"Reminds me of: Josh Donaldson or Eugenio Suarez  Type: A solid defensive third baseman and hitter who could hit 25 or 30 homers annually if things click  Miller was one of the first names to emerge in the 2023 prep position-player class, standing out as early as his freshman year and garnering Josh Donaldson comps at a Tampa-area high school when scouts were there to see his older brother Jackson, a prep teammate whom the Reds gave over $1 million in the 2020 draft. The main concerns at draft time were that Aidan looked like a third baseman rather than a shortstop throughout high school, was 19 on draft day (a historically negative indicator), and had missed much of his draft spring due to a hand injury. For those reasons, the Phillies got him with the 27th pick after he was projected to go in the top half of the round entering the spring.  In Miller's first full minor league season, he looked good defensively at shortstop, was running a tick better than high school, and hit better than even his most bullish supporters would've guessed on draft day while getting a late-season promotion to Double-A. He's now on the third-base/shortstop spectrum and I'm leaning toward third base due to his range. There still could be another tweak needed in his offensive approach to trade some contact for more consistent loft on hard-hit balls to get that 11-home run figure from his first full season to creep up as he moves up in the minors, but the raw power is there.",,,,,,25/50,55/65,50/45,40/45,55/55
13,14,Chase,Dollander,RHP,Age: 23 | Bats: Right | Throws: Right,Right-Right,60,"Reminds me of: Dylan Cease  Type: Potential front-line starter with a top-of-the-zone fastball and two good breaking balls  Dollander was a low-level follow for scouts in Georgia in the 2020 draft, then he took a huge step forward the next season as a freshman at Georgia Southern before transferring to Tennessee. Dollander put up huge numbers the next two seasons in Knoxville, winning 17 starts and striking out 228 batters en route to going No. 9 in the 2023 draft.  Dollander's 2023 was a slight step back for scouts as they focused on some small mechanical issues that affected his command, fastball shape and the consistency of his breaking stuff. It seemed correctable, and it was. He now has one of the best fastballs in the minor leagues, his breaking stuff has regained its crispness and his command has also improved. Dollander should spend much of 2025 in the upper minors, but could be ready to show his front-line potential in the big leagues as soon as the end of the season.",60/65,,50/60,,,,,,,
14,15,Leodalis,De Vries,SS,Age: 18 | Bats: Switch | Throws: Right,Switch-Right,60,"Reminds me of: A switch-hitting version of Willy Adames?  Type: Tooled-up young shortstop with real power; you can imagine almost anything  Every few international signing classes, there is someone anointed as the clearly best player in the class when they're 13 or 14 years old. They hold that title until they sign at 16, and it appears to be true as they get their feet wet in pro ball. That's who De Vries was and is, and the Padres pride themselves as an organization at finding players like this and acting before other teams do. It extends to their U.S. scouting, as well, with players like Jackson Merrill and James Wood who were either unknown until late in the process or were out of favor as prospects, but every scout agreed had great tools as 18-year-olds.  De Vries turned 18 while playing in the Arizona Fall League after playing 75 games in Low-A. San Diego is aggressive in challenging players they think have star potential and can handle the aggressive approach. Even as he's been thrown in the deep end of the pool, De Vries has shown excellent feel for pulling and lifting the ball in games, hitting 11 homers when his domestic age cohorts had just wrapped up their junior years of high school. If he continues to lean into that skill, I could see him hitting 25-30 homers at maturity and being a .240 or .250 hitter with a solid walk rate. Defensively, he could bulk up enough that many teams would move him off of shortstop. It's obviously early, so he could also choose to lean into contact and prioritize sticking at shortstop above all else. Either way, De Vries looks like an incredibly precocious potential star.",,,,,,25/50,45/60,45/45,40/50,60/60
15,16,Dalton,Rushing,C,,Left-Right,60,"Reminds me of: Carlos Santana with less contact, but a viable defender at catcher  Type: Squatty lefty hitter with power and patience who has come around as a receiver  Rushing was the No. 40 pick a year after Henry Davis went first overall and six years after Will Smith was the No. 32 pick -- all of them catchers drafted out of the University of Louisville. Now, Rushing is knocking on the door of the big leagues where he'll be competing with Smith for some reps behind the plate with the Dodgers. He's a later-blooming defensive catcher in part because he didn't get regular reps behind the plate at Louisville thanks to Davis' presence.  Rushing consistently posts plus walk rates and gets to his above-average power in games with great feel for pull and lift. Due to this approach and the step up in quality of big league pitching, his solid bat-to-ball skills should play down to below-average batting averages -- but with above-average on-base percentages. Because the Dodgers also have Austin Barnes behind Smith, Rushing will likely have to elbow his way into the lineup at designated hitter, first base, and corner-outfield spots. Rushing's pop times to second base play around average though his blocking, while fine, could use some work. Barnes is 35 years old and in the final year of his contract, so Rushing becoming a backup catcher who also finds his way regularly into the lineup elsewhere seems like how 2026 will begin, but Rushing may force that issue in 2025.",,,,,,40/45,55/55,45/45,40/50,55/55
16,17,Samuel,Basallo,C,Age: 20 | Bats: Left | Throws: Right,Left-Right,60,"Reminds me of: Basically, Jac Caglianone if he was also a catcher  Type: 30+ homer potential, but has risk factors tied to chase rate and defensive development  Basallo signed for a $1.3 million bonus in the 2021 international signing class but landed with the Orioles late in the process for a seven-figure talent. He was tied to the Yankees earlier, and according to industry chatter, the deal dissolved due to the loss of international bonus space tied to New York signing Gerrit Cole as a free agent.  As an amateur, Basallo was seen as a possible catcher with a big arm behind the plate and big power potential from the left side. That's basically still the scouting report, but what's somewhat shocking is that Basallo hit his way to Triple-A as a teenager, even with a troubling chase rate. Hitters with big raw power and a tendency to chase pitches out of the zone (not to mention young catchers) tend to move through the minor leagues slowly, but Basallo is the exception to the rule.  In 2025, we'll see if his bat is deemed ready for the big leagues and he plays less behind the plate, or if the Orioles prioritize Basallo making progress to reach his defensive potential by keeping him in the upper minors for the entire season. Basallo still has a wide range of potential outcomes for a player who has reached Triple-A, as both his offensive and defensive profiles could boom or bust.",,,,,,30/40,60/70,35/35,35/45,65/65
17,18,Noah,Schultz,LHP,Age: 21 | Bats: Left | Throws: Left,Left-Left,60,"Reminds me of: There's some real Chris Sale vibes if it all clicks  Type: 6-foot-9 lefty with a low arm slot that creates tons of life on every pitch  Schultz was a well-known prep prospect with clear first-round ability, but he made it to the White Sox at the 26th pick of the 2022 MLB draft due to an unclear asking price, missing the beginning of the spring with an illness and command trouble when he did get on the mound. The command issues make some sense, given his long arms at 6-foot-9 create problems repeating his delivery and his low arm slot helps create so much movement on his pitches that they'll often run out of the strike zone.  Schultz threw just 27 innings through the 2023 pro season, but last season he threw 88.1 innings, mostly in Double-A as a 20-year-old. It'll take at least two more healthy seasons to work him up to a full big league starter innings load, and there's some work to do fine-tuning locations and sequences in the upper minors. At this rate, late in 2025 or early in 2026, Schultz will force his way into the White Sox rotation, even if there will be a pitch or innings count, and show his frontline ability.",,,,,,,,,,
18,19,Sebastian,Walcott,SS,Age: 18 | Bats: Right | Throws: Right,Right-Right,60,"Reminds me of: There's some Fernando Tatis Jr. as a prospect vibes, but I wouldn't expect that outcome  Type: 6-foot-4 infielder with 40 home run upside, but unclear position and contact ability  Walcott signed for $3.2 million almost two years ago out of the Bahamas. The Rangers have moved him aggressively through the minors, and he has performed well, especially when adjusted for his age. But it makes me wonder if he'd be putting up otherworldly numbers if he was a level or two behind playing with most of the other prospects his age.  I think both Walcott and Basallo, two spots above and also moved quickly through the minors, will end up as 240 hitters with average walk rates and 30+ homers annually. Walcott is a more impressive athlete because of his speed, but I believe he will eventually move to third base -- despite currently playing shortstop -- due to his projected size and strong hands. Basallo, on the other hand, is likely to be either a catcher or a first baseman. The key difference is that Basallo has already proven he can hit at a higher level in the minors.",,,,,,25/40,65/80,55/50,35/45,60/60
19,20,Josue,De Paula,LF,Age: 19 | Bats: Left | Throws: Left,Left-Left,60,"Reminds me of: Yordan Alvarez  Type: Precocious lefty whose value is completely with the bat, but he could still be an All-Star  Sign up for free fantasy baseball   The 2025 fantasy baseball season is here! Get the group together, or start a brand new tradition. Join or start a league for free >>  DePaula signed for $400,000 in the 2022 international signing class, but showed he was clearly better than his bonus later that summer in his pro debut in the DSL. He has continued to post after that loud debut, splitting his 2024 season between Low-A and High-A, and my ""reminds me of"" isn't made up; a rival team compared him to Yordan Alvarez. If you scoff because De Paula only hit 10 homers last year, go check Alvarez's minor league track record.  The downside of that comp is De Paula doesn't offer much in terms of speed, defense, or arm. The upside is that he isn't just raw power projection; he's also an above average hitter with plus pitch selection and current plus in-game power, though he hasn't fully leaned into pulling and lifting the ball as much as he probably will in a few years.",,,,,,30/55,60/70,40/40,40/45,45/45
20,21,Andrew,Painter,RHP,Age: 21 | Bats: Right | Throws: Right,Right-Right,60,"Reminds me of: Justin Verlander is a common comp, given the big stuff, frame, and high arm slot  Type: 6-foot-7 potential frontline starter that's coming back from surgery  Painter was identified early in his prep career as a potential first-round pick and he delivered on that upside, going No. 13 overall in 2021 out of a south Florida high school. In the pre-draft spring, Painter's stuff showed plus flashes -- getting into the upper-90s with a sharper slider -- after being more average-to-above the previous summer. This growth is notable, because his stuff took another step forward the next spring, regularly hitting 100 mph and overpowering hitters. As a result, he got to Double-A while becoming one of the best prospects in baseball, and he was ruled off limits in any trade. He opened the 2023 spring training with buzz that he would break camp with the big league team as a teenager.  Then the momentum stopped. Painter went on the shelf with arm soreness he tried to rehab, with the potential to get back on the mound in the second half of 2023. That didn't work, and in July, he had Tommy John surgery, ending his 2023 and 2024 seasons. Painter returned to the mound in the Arizona Fall league a few months ago and his velocity was back, with flashes of the old stuff, but he obviously wasn't at the same level just yet. There's a shot Painter looks like he did in 2023 this spring, but expectations should just be that he looks solid and will spend the 2025 season in the upper minors refining his craft with a 2026 big league rotation shot a distinct possibility. If he shoves in his first few spring outings, I'm sure the hype train will start rolling again.",55/65,,40/50,50/55,,,,,,
21,22,Ethan,Salas,C,Age: 18 | Bats: Left | Throws: Right,Left-Right,60,"Reminds me of: I can't think of anyone specifically, but the statline may look like Will Smith's  Type: Young lefty-hitting catcher with above-average tools and excellent feel for catching  I mentioned above with fellow Padres prospect Leodalis De Vries (No. 15) that occasionally there is a clear and obvious top player in an international signing class years in advance who backs up the evaluation immediately in pro ball. Salas wasn't quite as clear from the start as De Vries -- there was some support for Felnin Celesten, ranked later on this list, at various points of the process -- but by signing day, Salas was the consensus best player in his class.  Almost all of Salas' family (father, uncle, grandfather, older brother, younger brother) played or are playing professionally. Salas runs well for a catcher and is incredibly advanced for his age as a receiver and game caller, so all of the soft abilities you could ask for in a young catcher are present. On top of that, he's an above-average hitter with plus power projection and solid feel for getting to his power in games against older pitchers.  His 2024 season line at High-A doesn't reflect those skills, but he hit better than league average the final month of the season, and that carried over into a solid Arizona Fall League showing. Some scouts and Padres personnel saw mechanical and approach issues that Salas had in the first half corrected in the second, as the surface numbers suggest. Given the very low bar for catcher-hitting in the big leagues (the league-average hitting line is .234/.299/.380 with 13 homers per 450 plate appearances) Salas has a shot to be one of the top five to seven at the position in just a couple of years.    55 FV Tier",,,,,,30/55,50/60,45/45,45/55,60/60
22,23,Matt,Shaw,3B,Age: 23 | Bats: Right | Throws: Right,Right-Right,60,,,,,,,,,,,
23,24,Jasson,Dominguez,CF,,Switch-Right,60,,,,,,,,,,,
24,25,Travis,Bazzana,2B,Age: 22 | Bats: Left | Throws: Right,Left-Right,60,,,,,,,,,,,
25,26,Kristian,Campbell,2B,Age: 22 | Bats: Right | Throws: Right,Right-Right,60,,,,,,,,,,,
26,27,Emmanuel,Rodriguez,CF,Age: 21 | Bats: Left | Throws: Left,Left-Left,60,,,,,,,,,,,
27,28,Jordan,Lawlar,SS,Age: 22 | Bats: Right | Throws: Right,Right-Right,60,,,,,,,,,,,
28,29,Jac,Caglianone,1B,Age: 21 | Bats: Left | Throws: Left,Left-Left,60,,,,,,,,,,,
29,30,JJ,Wetherholt,SS,,Switch-Right,60,,,,,,,,,,,
30,31,Jacob,Wilson,SS,Age: 22 | Bats: Right | Throws: Right,Right-Right,60,,,,,,,,,,,
31,32,Chase,DeLauter,RF,Age: 23 | Bats: Left | Throws: Left,Left-Left,60,,,,,,,,,,,
32,33,Colson,Montgomery,SS,Age: 22 | Bats: Left | Throws: Right,Left-Right,60,,,,,,,,,,,
